status,id,title,families,domains,reason,url
"dead_launch","2048","2048","","localhost","fetch failed","/games/2048/index.html"
"dead_launch","tetris","Tetris","","localhost","fetch failed","/games/tetris/index.html"
"dead_launch","snake","Snake","","localhost","fetch failed","/games/snake/index.html"
"dead_launch","flappy-bird","Flappy Bird","","localhost","fetch failed","/games/flappy-bird/index.html"
"dead_launch","pong","Pong","","localhost","fetch failed","/games/pong/index.html"
"dead_launch","breakout","Breakout","","localhost","fetch failed","/games/breakout/index.html"
"dead_launch","dino-runner","Dino Runner","","localhost","fetch failed","/games/dino-runner/index.html"
"dead_launch","space-invaders","Space Invaders","","localhost","fetch failed","/games/space-invaders/index.html"
"dead_launch","sudoku","Sudoku","","localhost","fetch failed","/games/sudoku/index.html"
"dead_launch","minesweeper","Minesweeper","","localhost","fetch failed","/games/minesweeper/index.html"
"dead_launch","connect-four","Connect Four","","localhost","fetch failed","/games/connect-four/index.html"
"dead_launch","memory-match","Memory Match","","localhost","fetch failed","/games/memory-match/index.html"
"dead_launch","typing-game","Typing Game","","localhost","fetch failed","/games/typing-game/index.html"
"dead_launch","simon-says","Simon Says","","localhost","fetch failed","/games/simon-says/index.html"
"dead_launch","tower-of-hanoi","Tower of Hanoi","","localhost","fetch failed","/games/tower-of-hanoi/index.html"
"dead_launch","pacman","Pacman","","localhost","fetch failed","/games/pacman/index.html"
"dead_launch","andys-apple-farm","Andy's Apple Farm","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=andys-apple-farm"
"dead_launch","aqua-park","Aqua Park","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=aqua-park"
"dead_launch","babel-tower","Babel Tower","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=babel-tower"
"dead_launch","bad-parenting-1","Bad Parenting 1","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=bad-parenting-1"
"dead_launch","basketball-random","Basketball Random","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=basketball-random"
"dead_launch","ben-10-omniverse","Ben 10 Omniverse","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=ben-10-omniverse"
"dead_launch","ben-10-protector-of-earth","Ben 10 Protector Of Earth","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=ben-10-protector-of-earth"
"dead_launch","binding-of-isaac-wrath-of-the-lamb","Binding Of Isaac Wrath Of The Lamb","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=binding-of-isaac-wrath-of-the-lamb"
"dead_launch","bloons-td-4","Bloons TD 4","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=bloons-td-4"
"dead_launch","brotato","Brotato","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=brotato"
"dead_launch","cheese-rolling","Cheese Rolling","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=cheese-rolling"
"dead_launch","christmas-massacre","Christmas Massacre","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=christmas-massacre"
"dead_launch","code-editor","Code Editor","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=code-editor"
"dead_launch","core-ball","Core Ball","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=core-ball"
"dead_launch","crazy-cattle-3-d","Crazy Cattle 3 D","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=crazy-cattle-3d"
"dead_launch","cube-field","Cube Field","1key","1key.lol|localhost","fetch failed","https://1key.lol/games/game/?id=cube-field"
