id,name,reliability,source,url,reason
"baldis-basics","Baldi's Basics","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games6/baldis-basics/","source_ok_proxy_unverified"
"ballisticchickens","Ballistic Chickens","yellow","selenite","https://adfree-sz-games.github.io/Games6/ballistic-chickens","source_ok_proxy_unverified"
"basketbros","Basket Bros","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games11/basketbros","source_ok_proxy_unverified"
"bigredbutton","Big Red Button","yellow","selenite","https://3kh0.github.io/projects/bigredbutton/index.html","source_ok_proxy_unverified"
"bloxors","Bloxors","yellow","selenite","https://3kh0.github.io/projects/bloxors/index.html","source_ok_proxy_unverified"
"cell-machine","Cell Machine","yellow","selenite","https://3kh0.github.io/projects/cell-machine/index.html","source_ok_proxy_unverified"
"championisland","Championisland","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games5/champion-island","source_ok_proxy_unverified"
"cubefield","Cubefield","yellow","selenite","https://3kh0.github.io/projects/cubefield/index.html","source_ok_proxy_unverified"
"cut-the-rope","Cut the Rope","yellow","selenite","https://3kh0.github.io/projects/ctr/index.html","source_ok_proxy_unverified"
"death-run-3-d","Death Run 3 D","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games6/death-run-3d/","source_ok_proxy_unverified"
"defendthetank","Defendthetank","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games5/defend-the-tank","source_ok_proxy_unverified"
"dogeminer","Dogeminer","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games4/DogeMiner","source_ok_proxy_unverified"
"adventure-drivers","Adventure Drivers","yellow","frogie","https://adfree-sz-games.github.io/Games5/adventure-drivers","source_ok_proxy_unverified"
"angry-birds","Angry Birds","yellow","frogie","https://adfree-sz-games.github.io/Games5/AngryBirds/","source_ok_proxy_unverified"
"big-tower-tiny-square","Big Tower Tiny Square","yellow","frogie","https://3kh0.github.io/projects/btts/index.html","source_ok_proxy_unverified"
"bob-the-robber-2","Bob The Robber 2","yellow","frogie","https://adfree-sz-games.github.io/Games/bobtherobber2","source_ok_proxy_unverified"
"burger-and-frights","Burger And Frights","yellow","frogie","https://adfree-sz-games.github.io/Games6/burger-and-frights","source_ok_proxy_unverified"
"call-of-duty-mobile","Call Of Duty Mobile","yellow","frogie","https://play.frogiee.one/apps/a/10008/b.html","source_ok_proxy_unverified"
"cannon-basketball-4","Cannon Basketball 4","yellow","frogie","https://3kh0.github.io/projects/cannon-basketball-4/index.html","source_ok_proxy_unverified"
"cookie-run-kingdom","Cookie Run Kingdom","yellow","frogie","https://play.frogiee.one/apps/a/10019/b.html","source_ok_proxy_unverified"
"danganronpa-trigger-happy-havoc","Danganronpa Trigger Happy Havoc","yellow","frogie","https://play.frogiee.one/stuff/selfhosted/danganronpa/index.html","source_ok_proxy_unverified"
"drift-boss","Drift Boss","yellow","frogie","https://adfree-sz-games.github.io/Games6/drift-boss","source_ok_proxy_unverified"
"drive-mad","Drive Mad","yellow","frogie","https://adfree-sz-games.github.io/Games5/drive-mad","source_ok_proxy_unverified"
"ea-sports-fc-mobile","Ea Sports Fc Mobile","yellow","frogie","https://play.frogiee.one/apps/electronic-arts/1353/ea-sports-fc-mobile-24-soccer.html","source_ok_proxy_unverified"
"ea-sports-ufc-mobile","Ea Sports Ufc Mobile","yellow","frogie","https://play.frogiee.one/apps/electronic-arts/3288/ea-sports-ufc-mobile-2.html","source_ok_proxy_unverified"
"ev-io","Ev.io","yellow","frogie","https://play.frogiee.one/algebra.html?url=https://ev.io","source_ok_proxy_unverified"
"fortnite","Fortnite","yellow","frogie","https://play.frogiee.one/apps/aptoide/5874/aptoide.html?deep_link=aptoidesearch://com.epicgames.fortnite","source_ok_proxy_unverified"
"genshin-impact","Genshin Impact","yellow","frogie","https://play.frogiee.one/apps/cognosphere-pte-ltd-/1773/genshin-impact.html","source_ok_proxy_unverified"
"getting-over-it","Getting Over It","yellow","frogie","https://adfree-sz-games.github.io/Games7/getting-over-it","source_ok_proxy_unverified"
"hexgl","Hexgl","yellow","frogie","https://3kh0.github.io/projects/HexGL/index.html","source_ok_proxy_unverified"
"honkai-star-rail","Honkai Star Rail","yellow","frogie","https://play.frogiee.one/apps/cognosphere-pte-ltd/1591/honkai-star-rail.html","source_ok_proxy_unverified"
"little-big-planet","Little Big Planet","yellow","frogie","https://play.frogiee.one/stuff/selfhosted/lbp/index.html","source_ok_proxy_unverified"
"melon-sandbox","Melon Sandbox","yellow","frogie","https://play.frogiee.one/apps/playducky/7199/melon-sandbox.html","source_ok_proxy_unverified"
"minecraft","Minecraft","yellow","frogie","https://adfree-sz-games.github.io/storage3/AWeb","source_ok_proxy_unverified"
"monkey-mart","Monkey Mart","yellow","frogie","https://adfree-sz-games.github.io/Games/monkey-mart","source_ok_proxy_unverified"
