score,id,title,failure_reason,mirror_found,current_url,mirror_url,reasons
95,"badicecream-2","Badicecream 2","unknown",yes,"https://adfree-sz-games.github.io/Games5/bad-ice-cream-2","/games/game.html?game=/Games5/bad-ice-cream-2","Working duplicate exists | Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
95,"badicecream-3","Badicecream 3","unknown",yes,"https://adfree-sz-games.github.io/Games5/bad-ice-cream-3","/games/game.html?game=/Games5/bad-ice-cream-3","Working duplicate exists | Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
95,"bobtherobber-2","Bobtherobber 2","unknown",yes,"https://adfree-sz-games.github.io/Games/bobtherobber2","/games/game.html?game=/Games/bobtherobber2","Working duplicate exists | Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
95,"burgerandfrights","Burgerandfrights","unknown",yes,"https://adfree-sz-games.github.io/Games6/burger-and-frights","/games/game.html?game=https://adfree-sz-games.github.io/Games6/burger-and-frights","Working duplicate exists | Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
95,"csgoclicker","Csgoclicker","unknown",yes,"https://adfree-sz-games.github.io/Games/CSGO-CLICKER","/games/game.html?game=/Games/CSGO-CLICKER","Working duplicate exists | Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
95,"five-nights-at-winstons","Five Nights At Winstons","unknown",yes,"https://play.frogiee.one/iframe.html?url=/stuff/selfhosted/fnaw/","/games/game.html?game=/Games10/fnaw/index.html","Working duplicate exists | Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"10-minutes-till-dawn","10 Minutes Till Dawn","unknown",yes,"https://adfree-sz-games.github.io/Games5/10-minutes-till-dawn","/games/game.html?game=/Games5/10-minutes-till-dawn","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"1v1-lol-2","1v1 LOL","unknown",yes,"https://adfree-sz-games.github.io/Games-2/lol/","/games/game.html?game=https://adfree-sz-games.github.io/Games-2/lol/","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"9007199254740992","9007199254740992","unknown",yes,"https://3kh0.github.io/projects/9007199254740992/index.html","/games/game.html?game=/Games5/9007199254740992/","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"adofai","A Dance of Fire and Ice","unknown",yes,"https://adfree-sz-games.github.io/Games9/a-dance-of-fire-and-ice","/games/game.html?game=https://adfree-sz-games.github.io/Games9/a-dance-of-fire-and-ice","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"amazing-rope-police","Amazing Rope Police","unknown",yes,"https://adfree-sz-games.github.io/Games5/amazing-rope-police","/games/game.html?game=/Games5/amazing-rope-police","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"bad-ice-cream","Bad Ice Cream","unknown",yes,"https://adfree-sz-games.github.io/Games5/bad-ice-cream","/games/game.html?game=/Games5/bad-ice-cream","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"basketball-stars","Basketball Stars","unknown",yes,"https://3kh0.github.io/projects/basketball-stars/index.html","/games/game.html?game=/Games7/basketball-stars","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"boxing-random","Boxing Random","unknown",yes,"https://tylerpalko.github.io/gamehub/boxingrandom/","/games/game.html?game=https://tylerpalko.github.io/gamehub/boxingrandom/","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"boxingrandom","Boxingrandom","unknown",yes,"https://adfree-sz-games.github.io/games/game.html?game=https://tylerpalko.github.io/gamehub/boxingrandom/","/games/game.html?game=https://tylerpalko.github.io/gamehub/boxingrandom/","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"cheeserolling","Cheeserolling","unknown",no,"https://selenite.cc/projects/cheeserolling","","Working duplicate exists | Recognized source family | Valid description text | Tag categorization present"
55,"five-nights-at-epsteins","Five Nights At Epsteins","unknown",no,"https://play.frogiee.one/iframe.html?url=/stuff/selfhosted/fnae/index.html","","Working duplicate exists | Recognized source family | Valid description text | Tag categorization present"
55,"moto-x-3-m","Moto X 3 M","unknown",yes,"https://play.frogiee.one/iframe.html?url=/cdn/projects/motox3m/index.html","/games/game.html?game=https://tbg95.github.io/moto-x3m/game","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"papas-pizzeria","Papa's Pizzeria","unknown",yes,"https://play.frogiee.one/iframe.html?url=/stuff/selfhosted/flash/game/papa/example/pizzeria.html","/games/Flash.html?game=/FlashGames/papaspizzeria_v2.swf","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"truffled-slendy","Slendytubbies","unknown",no,"https://lucideon.top/g/frame","","Working duplicate exists | Recognized source family | Valid description text | Tag categorization present"
55,"subway-surfers","Subway Surfers","unknown",yes,"https://dddavit.github.io/subway/","/games/game.html?game=https://dddavit.github.io/subway/","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"selenite-supersmashflash2","Super Smash Flash 2","unknown",yes,"https://lucideon.top/g/frame","./games/Flash.html?game=/Games11/super-smash-flash-2.swf","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
55,"vex-4","Vex 4","unknown",yes,"https://adfree-sz-games.github.io/games/game.html?game=/Games7/vex4","/games/game.html?game=/Games7/vex4","Safe mirror candidate found | Recognized source family | Valid description text | Tag categorization present"
50,"1v1-lol","1v1.LOL","unknown",yes,"https://adfree-sz-games.github.io/Games-2/lol/","/games/game.html?game=https://adfree-sz-games.github.io/Games-2/lol/","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"agar-io","Agar.io","unknown",yes,"https://adfree-sz-games.github.io/games/agario","/games/agario","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"among-us","Among Us","unknown",yes,"https://3kh0.github.io/projects/among-us/index.html","/games/game.html?game=/Games2/among-us","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"bitlife","BitLife","unknown",yes,"https://adfree-sz-games.github.io/Games9/bitlife","/rating.html?game=bitlife&&url=/games/game.html?game=https://adfree-sz-games.github.io/Games9/bitlife","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"chess","Chess","unknown",yes,"https://adfree-sz-games.github.io/games/chess/index.html","/games/game.html?game=/games/chess/index.html","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"crossy-road","Crossy Road","unknown",yes,"https://adfree-sz-games.github.io/games/game.html?game=https://adfree-sz-games.github.io/cr/","/games/game.html?game=https://adfree-sz-games.github.io/cr/","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"drift-hunters","Drift Hunters","unknown",yes,"https://adfree-sz-games.github.io/games/game.html?game=https://webglmath.github.io/drift-hunters/","/games/game.html?game=https://webglmath.github.io/drift-hunters/","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"happy-wheels","Happy Wheels","unknown",yes,"https://mrsnailman.github.io/Happy-Wheels-Source-Code/","/games/game.html?game=https://mrsnailman.github.io/Happy-Wheels-Source-Code/","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"madalin-stunt-cars-2","Madalin Stunt Cars 2","unknown",yes,"https://adfree-sz-games.github.io/Games2/madalin-stunt-cars-2","/games/game.html?game=/Games2/madalin-stunt-cars-2","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"moto-x3m","Moto X3M","unknown",yes,"https://adfree-sz-games.github.io/games/game.html?game=https://tbg95.github.io/moto-x3m/game","/games/game.html?game=https://tbg95.github.io/moto-x3m/game","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"raft-wars","Raft Wars","unknown",yes,"https://adfree-sz-games.github.io/games/Flash.html?game=/Games7/raftwars.swf","/games/Flash.html?game=/Games7/raftwars.swf","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"retro-bowl","Retro Bowl","unknown",yes,"https://3kh0.github.io/projects/retro-bowl/index.html","./games/game.html?game=/Games11/retro-bowl/game","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"run-3","Run 3","unknown",yes,"https://adfree-sz-games.github.io/Games-2/run3/","/games/game.html?game=https://adfree-sz-games.github.io/Games-2/run3/","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"slope","Slope","unknown",yes,"https://adfree-sz-games.github.io/games/game.html?game=/slope","/games/game.html?game=/slope","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"smash-karts","Smash Karts","unknown",yes,"https://adfree-sz-games.github.io/games/game.html?game=https://mr-funkinguy.github.io/75/projects/smashkarts/index.html","/games/game.html?game=https://mr-funkinguy.github.io/75/projects/smashkarts/index.html","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"stickman-hook","Stickman Hook","unknown",yes,"https://adfree-sz-games.github.io/games/game.html?game=/Games5/stickman-hook","/games/game.html?game=/Games5/stickman-hook","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"tunnel-rush","Tunnel Rush","unknown",yes,"https://adfree-sz-games.github.io/games/unity.html?game=/games/tunnel-rush/","/games/unity.html?game=/games/tunnel-rush/","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"vex-5","Vex 5","unknown",yes,"https://adfree-sz-games.github.io/games/game.html?game=/Games7/vex5","/games/game.html?game=/Games7/vex5","Safe mirror candidate found | Valid description text | Tag categorization present"
50,"wordle","Wordle","unknown",yes,"https://www.nytimes.com/games/wordle/index.html","/games/game.html?game=/Games5/wordle","Safe mirror candidate found | Valid description text | Tag categorization present"
25,"coreball","Coreball","unknown",no,"https://gn-math.dev/#game-83","","Working duplicate exists | Recognized source family | Valid description text | Tag categorization present | Homepage or root domain trap risk"
25,"shredsauce","Shredsauce","unknown",no,"https://gn-math.dev/#game-725","","Working duplicate exists | Recognized source family | Valid description text | Tag categorization present | Homepage or root domain trap risk"
