"slope","Slope","generic_only"
"fnf","Friday Night Funkin'","dead_launch"
"krunker","Krunker","generic_only"
"slither-io","Slither.io","generic_only"
"hole-io","Hole.io","generic_only"
"stickman-hook","Stickman Hook","generic_only"
"vex-5","Vex 5","generic_only"
"geometry-dash","Geometry Dash","generic_only"
"drift-hunters","Drift Hunters","dead_launch"
"paper-io-2","Paper.io 2","generic_only"
"tunnel-rush","Tunnel Rush","generic_only"
"smash-karts","Smash Karts","generic_only"
"moto-x3m","Moto X3M","dead_launch"
"bitlife","BitLife","generic_only"
"crossy-road","Crossy Road","generic_only"
"bonk-io","Bonk.io","generic_only"
"skribbl-io","Skribbl.io","generic_only"
"zombs-royale","ZombsRoyale.io","generic_only"
"osu","osu!","dead_launch"
"helix-jump","Helix Jump","generic_only"
"dead-zed","Dead Zed","generic_only"
"parkour-race","Parkour Race","generic_only"
"1-datedanger","1 Date Danger","dead_launch"
"1-on-1-soccer","1 On 1 Soccer","dead_launch"
"2-drocketleague","2D Rocket League","dead_launch"
"3-line","3 Line","dead_launch"
"pinball","Pinball","dead_launch"
"60-sburgerrun","60 Second Burger Run","dead_launch"
"adarkroom","A Dark Room","dead_launch"
"abandoned","Abandoned","dead_launch"
"abudathealien","Abuda the Alien","dead_launch"
"aceattorneyinvestigations","Ace Attorney Investigations","dead_launch"
"aceattorneyapollojustice","Ace Attorney: Apollo Justice","dead_launch"
"aceattorneyjusticeforall","Ace Attorney: Justice for All","dead_launch"
"aceattorneyphoenixwright","Ace Attorney: Phoenix Wright","dead_launch"
"aceattorneytnt","Ace Attorney: Trials and Tribulations","dead_launch"
"achieveunlocked-2","Achieveunlocked 2","dead_launch"
"achievementunlocked-3","Achievementunlocked 3","dead_launch"
"achilles","Achilles","dead_launch"
"advancewars","Advance Wars","dead_launch"
"advancewars-2","Advance Wars 2","dead_launch"
"advancewarsdayofruin","Advance Wars: Days of Ruin","dead_launch"
"adventure","Adventure","dead_launch"
"adventure-capitalist","Adventure Capitalist","dead_launch"
"adventuretime","Adventure Time","dead_launch"
"agariolite","Agar.io Lite","dead_launch"
"age-of-war","Age of War","dead_launch"
"buckshot-roulette","Buckshot Roulette","dead_launch"
"danganronpa","Danganronpa","dead_launch"
"deltarune","Deltarune","dead_launch"
