domain,count
"cdn.jsdelivr.net",702
"gn-math.dev",702
"selenite.cc",214
"localhost",154
"play.frogiee.one",138
"adfree-sz-games.github.io",80
"1key.lol",74
"a.luminsdk.com",69
"lucideon.top",69
"3kh0.github.io",45
"mr-funkinguy.github.io",3
"krunker.io",1
"slither.io",1
"hole-io.com",1
"geometrydash.io",1
"dddavit.github.io",1
"nytimes.com",1
"bonk.io",1
"skribbl.io",1
"zombsroyale.io",1
"osu.ppy.sh",1
"mrsnailman.github.io",1
"helixjump.io",1
"deadzed.com",1
"parkourrace.com",1
"tylerpalko.github.io",1
